/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'angle_reward': 80.80563133612586, 'velocity_reward': 23.375546865439695, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 74.4589539508195, 'gpt_reward': 178.64013215238504, 'gt_reward': 103.0, 'episode_length': 94.0}
Episode 2 finished with reward: {'angle_reward': 1987.5091000208329, 'velocity_reward': 793.279425452562, 'threshold_touch_reward': 1.0, 'angular_velocity_reward': 1908.171226120881, 'gpt_reward': 4689.959751594277, 'gt_reward': 2117.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1993.4236519646024, 'velocity_reward': 780.3219332017427, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1913.6889038116417, 'gpt_reward': 4687.434488977983, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1986.0687173702202, 'velocity_reward': 779.8009203690251, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.846698890112, 'gpt_reward': 4675.716336629357, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1984.190142616638, 'velocity_reward': 795.3801354627892, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1910.6994547524275, 'gpt_reward': 4690.269732831854, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 1996.4818530470131, 'velocity_reward': 731.3520393663812, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.107021838693, 'gpt_reward': 4635.940914252092, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1994.3355547517697, 'velocity_reward': 803.4827762912847, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1910.1280609223552, 'gpt_reward': 4707.946391965409, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1994.0394486429072, 'velocity_reward': 729.7097706561632, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1906.825937664296, 'gpt_reward': 4630.575156963374, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1996.252398964731, 'velocity_reward': 742.50762297224, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.448135474861, 'gpt_reward': 4648.208157411829, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1993.6862173873265, 'velocity_reward': 800.0034700476226, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1910.384941910257, 'gpt_reward': 4704.074629345214, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 1989.154436265887, 'velocity_reward': 808.9533016291742, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.1753843365873, 'gpt_reward': 4707.283122231647, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1989.8223649566066, 'velocity_reward': 809.1265692843543, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.9093859456934, 'gpt_reward': 4707.85832018665, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1992.6081943436593, 'velocity_reward': 808.8839002539321, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1912.4593501809582, 'gpt_reward': 4713.951444778545, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1992.8999632798445, 'velocity_reward': 816.0101187948898, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1907.1959794454488, 'gpt_reward': 4716.106061520193, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1990.7514013143968, 'velocity_reward': 808.568211924455, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1911.1379975609873, 'gpt_reward': 4710.457610799845, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 1994.9048575930012, 'velocity_reward': 829.8508940524257, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1911.0033807275317, 'gpt_reward': 4735.759132372961, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1451.86713443405, 'velocity_reward': 632.0043930085596, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1391.8007507777481, 'gpt_reward': 3475.6722782203583, 'gt_reward': 1466.0, 'episode_length': 1457.0}
Episode 3 finished with reward: {'angle_reward': 1994.4028964157708, 'velocity_reward': 823.014380616831, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1907.3370517048188, 'gpt_reward': 4724.754328737418, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1994.6192697743234, 'velocity_reward': 817.8574074859554, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.2473460795206, 'gpt_reward': 4720.724023339788, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1150.951503211639, 'velocity_reward': 519.2220344217868, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1102.572255203074, 'gpt_reward': 2772.7457928365, 'gt_reward': 1164.0, 'episode_length': 1155.0}
Episode 1 finished with reward: {'angle_reward': 672.1413357551105, 'velocity_reward': 347.8434103151725, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 644.8111672830738, 'gpt_reward': 1664.795913353358, 'gt_reward': 685.0, 'episode_length': 676.0}
Episode 2 finished with reward: {'angle_reward': 1993.7908720195298, 'velocity_reward': 824.7964050219033, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1905.5350143565502, 'gpt_reward': 4724.1222913980055, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1993.8281398848494, 'velocity_reward': 827.3205896505625, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1905.1772041784093, 'gpt_reward': 4726.325933713823, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1994.389276364331, 'velocity_reward': 833.5249630130378, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1910.3876615566935, 'gpt_reward': 4738.301900934052, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1993.8985064015483, 'velocity_reward': 836.8782117314604, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1910.1757473583866, 'gpt_reward': 4740.952465491396, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 1993.3050589202153, 'velocity_reward': 836.20110113663, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1906.1833278086774, 'gpt_reward': 4735.689487865526, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1993.3341690925456, 'velocity_reward': 845.4569620153812, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1906.6851890601267, 'gpt_reward': 4745.4763201680635, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 918.9006937722056, 'velocity_reward': 442.97883355110224, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 881.559089223024, 'gpt_reward': 2243.438616546333, 'gt_reward': 933.0, 'episode_length': 924.0}
Episode 4 finished with reward: {'angle_reward': 1993.394383817661, 'velocity_reward': 841.8309712915867, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1912.8447353909569, 'gpt_reward': 4748.070090500192, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1993.5808841072217, 'velocity_reward': 833.635519564606, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1905.8812031511386, 'gpt_reward': 4733.097606822968, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 1992.8546740823954, 'velocity_reward': 832.0819781969252, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.5316836559994, 'gpt_reward': 4733.468335935311, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1992.8048272110632, 'velocity_reward': 835.7621236350959, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1911.711915881186, 'gpt_reward': 4740.278866727344, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1992.8447497427362, 'velocity_reward': 836.3731965124641, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1910.826394033872, 'gpt_reward': 4740.044340289068, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1989.8819882247442, 'velocity_reward': 837.542421116552, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.0741864808367, 'gpt_reward': 4736.498595822137, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1992.9593807202834, 'velocity_reward': 838.79338096594, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1907.2922795275592, 'gpt_reward': 4739.045041213789, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 1993.3094285406983, 'velocity_reward': 841.6511729526576, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1907.7285427585, 'gpt_reward': 4742.689144251864, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1992.757232874415, 'velocity_reward': 846.7718813443406, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1905.1492902541745, 'gpt_reward': 4744.678404472934, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1992.778383828492, 'velocity_reward': 845.5264111876651, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.1211449617203, 'gpt_reward': 4747.42593997787, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1993.0386700468468, 'velocity_reward': 848.3544659973107, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1906.396554208013, 'gpt_reward': 4747.789690252171, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1992.8062665813154, 'velocity_reward': 839.1232693804078, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1906.0971017378806, 'gpt_reward': 4738.026637699617, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 1992.0733249560544, 'velocity_reward': 838.6508576379746, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1905.0969007925198, 'gpt_reward': 4735.821083386558, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1991.96515544229, 'velocity_reward': 837.6315136253316, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1904.8419662626327, 'gpt_reward': 4734.438635330256, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1992.501851083613, 'velocity_reward': 847.7065593112507, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1911.7264896852093, 'gpt_reward': 4751.934900080068, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1992.033937077951, 'velocity_reward': 843.5443739274652, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1907.0490247566906, 'gpt_reward': 4742.627335762109, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1992.0841699219677, 'velocity_reward': 838.303623768675, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.8674558782957, 'gpt_reward': 4739.255249568939, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 1991.2933636965943, 'velocity_reward': 825.2949191086246, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1912.1836705835535, 'gpt_reward': 4728.771953388771, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1991.730179075064, 'velocity_reward': 833.8952025522995, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1910.1072190644381, 'gpt_reward': 4735.732600691802, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1991.426726949581, 'velocity_reward': 832.1983619207554, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1913.297596961614, 'gpt_reward': 4736.922685831935, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1991.141491173584, 'velocity_reward': 824.4792459719654, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.1207395355132, 'gpt_reward': 4724.741476681066, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1991.2242307649415, 'velocity_reward': 823.2495888317942, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1905.4830350640257, 'gpt_reward': 4719.956854660775, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 220.08583097049961, 'velocity_reward': 169.27174473860418, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 213.7404990110703, 'gpt_reward': 603.098074720174, 'gt_reward': 234.0, 'episode_length': 225.0}
Episode 2 finished with reward: {'angle_reward': 218.26089318992177, 'velocity_reward': 167.68533329287132, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 211.73138089390062, 'gpt_reward': 597.6776073766933, 'gt_reward': 232.0, 'episode_length': 223.0}
Episode 3 finished with reward: {'angle_reward': 199.7975724917309, 'velocity_reward': 147.78565456542998, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 195.08560468911256, 'gpt_reward': 542.6688317462732, 'gt_reward': 214.0, 'episode_length': 205.0}
Episode 4 finished with reward: {'angle_reward': 218.14037725877085, 'velocity_reward': 166.30146061849175, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 211.92655913663577, 'gpt_reward': 596.3683970138984, 'gt_reward': 232.0, 'episode_length': 223.0}
Episode 5 finished with reward: {'angle_reward': 215.44233855453328, 'velocity_reward': 165.84508813527293, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 208.98436026830862, 'gpt_reward': 590.2717869581148, 'gt_reward': 229.0, 'episode_length': 220.0}
Episode 1 finished with reward: {'angle_reward': 215.8238095049905, 'velocity_reward': 166.9218639307929, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 210.41002213131708, 'gpt_reward': 593.1556955671008, 'gt_reward': 230.0, 'episode_length': 221.0}
Episode 2 finished with reward: {'angle_reward': 225.4144268010074, 'velocity_reward': 170.22962530550174, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 219.70513928591095, 'gpt_reward': 615.3491913924198, 'gt_reward': 240.0, 'episode_length': 231.0}
Episode 3 finished with reward: {'angle_reward': 226.2278790918981, 'velocity_reward': 169.03742859106515, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 220.728167907343, 'gpt_reward': 615.9934755903065, 'gt_reward': 241.0, 'episode_length': 232.0}
Episode 4 finished with reward: {'angle_reward': 218.55700789066424, 'velocity_reward': 168.91212322063117, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 213.49345748127533, 'gpt_reward': 600.9625885925709, 'gt_reward': 233.0, 'episode_length': 224.0}
Episode 5 finished with reward: {'angle_reward': 231.3802081301747, 'velocity_reward': 173.80998421454404, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 225.76356881233335, 'gpt_reward': 630.9537611570518, 'gt_reward': 246.0, 'episode_length': 237.0}
Episode 1 finished with reward: {'angle_reward': 1989.4276997107897, 'velocity_reward': 819.2027571591941, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.5182857639586, 'gpt_reward': 4717.148742633935, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1986.8707709828586, 'velocity_reward': 816.2136973159877, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.0771258458321, 'gpt_reward': 4712.161594144686, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1989.2325635375385, 'velocity_reward': 819.3336899823122, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1906.370006908657, 'gpt_reward': 4714.93626042851, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 217.05427149225284, 'velocity_reward': 165.03894465159414, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 212.53514373069785, 'gpt_reward': 594.6283598745446, 'gt_reward': 232.0, 'episode_length': 223.0}
Episode 5 finished with reward: {'angle_reward': 227.76867719369181, 'velocity_reward': 167.21946823514702, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 222.94089168736247, 'gpt_reward': 617.9290371162017, 'gt_reward': 243.0, 'episode_length': 234.0}
Episode 1 finished with reward: {'angle_reward': 1984.106314634724, 'velocity_reward': 846.8143213089046, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.4253508966142, 'gpt_reward': 4740.345986840242, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1983.178153469966, 'velocity_reward': 822.8888150912276, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.063790467435, 'gpt_reward': 4715.130759028622, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1985.6598577808672, 'velocity_reward': 836.1777945856611, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.1504050814772, 'gpt_reward': 4730.988057448006, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1983.7078898547068, 'velocity_reward': 827.3712156101271, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.0910437781808, 'gpt_reward': 4720.170149243015, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1983.693637315345, 'velocity_reward': 832.0076432782039, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.9386691140153, 'gpt_reward': 4724.63994970757, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 216.21988700488106, 'velocity_reward': 167.9365237672507, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 210.4394877593634, 'gpt_reward': 594.5958985314954, 'gt_reward': 230.0, 'episode_length': 221.0}
Episode 2 finished with reward: {'angle_reward': 226.92844409637797, 'velocity_reward': 181.44068961005797, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 219.81167083863738, 'gpt_reward': 628.1808045450734, 'gt_reward': 240.0, 'episode_length': 231.0}
Episode 3 finished with reward: {'angle_reward': 212.3961300067619, 'velocity_reward': 163.9995377885108, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 207.0173250748923, 'gpt_reward': 583.4129928701647, 'gt_reward': 226.0, 'episode_length': 217.0}
Episode 4 finished with reward: {'angle_reward': 215.2457451431453, 'velocity_reward': 164.89466747030013, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 209.27549713172436, 'gpt_reward': 589.4159097451701, 'gt_reward': 229.0, 'episode_length': 220.0}
Episode 5 finished with reward: {'angle_reward': 225.26436492526037, 'velocity_reward': 183.1166900627932, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 218.08918082981913, 'gpt_reward': 626.4702358178722, 'gt_reward': 238.0, 'episode_length': 229.0}
Episode 1 finished with reward: {'angle_reward': 1991.4699543369163, 'velocity_reward': 826.6060602047738, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1912.069981864328, 'gpt_reward': 4730.145996406017, 'gt_reward': 2009.0, 'episode_length': 2000.0}
